Time,QR,Line,ESD
2021-12-29 09:31:56.842261+00:00,7352210450,Line1,'4.942175354808587
2021-12-29 09:31:58.996346+00:00,7352210450,Line1,'8.290858771651965
2021-12-29 09:32:01.170046+00:00,7352210450,Line1,'8.500151485204732
2021-12-29 09:32:03.318237+00:00,7352210450,Line1,'8.70944419875741
2021-12-29 09:32:05.478175+00:00,7352210450,Line1,'8.918736912310088
2021-12-29 09:32:07.640654+00:00,7352210450,Line1,'8.70944419875741
2021-12-29 09:32:09.801833+00:00,7352210450,Line1,'9.755907766520977
2021-12-29 09:32:11.948229+00:00,7352210450,Line1,'9.128029625862855
2021-12-29 09:32:14.114595+00:00,7352210450,Line1,'5.570053495466709
2021-12-29 09:32:16.281287+00:00,7352210450,Line1,'4.73288264125582
2021-12-29 09:32:18.429837+00:00,7352210450,Line1,'6.1979316361248316
2021-12-29 09:32:20.583545+00:00,7352210450,Line1,'6.825809776782954
2021-12-29 10:07:50.649408+00:00,7352210450,Line1,'3.686419073492253
2021-12-29 10:07:52.834720+00:00,7352210450,Line1,'3.477126359939575
2021-12-29 10:07:55.030600+00:00,7352210450,Line1,'3.8957117870450197
2021-12-29 10:07:57.198080+00:00,7352210450,Line1,'3.686419073492253
2021-12-29 10:07:59.380595+00:00,7352210450,Line1,'3.477126359939575
2021-12-29 10:08:01.548712+00:00,7352210450,Line1,'3.686419073492253
2021-12-29 10:08:03.695227+00:00,7352210450,Line1,'3.477126359939575
2021-12-29 10:08:05.862059+00:00,7352210450,Line1,'3.686419073492253
2021-12-29 10:08:08.023308+00:00,7352210450,Line1,'3.2678336463868973
2021-12-29 10:08:10.161171+00:00,7352210450,Line1,'4.105004500597698
2021-12-29 10:08:12.317909+00:00,7352210450,Line1,'2.4306627921760082
2021-12-29 10:08:14.460413+00:00,7352210450,Line1,'4.105004500597698
2021-12-29 10:08:16.606388+00:00,7352210450,Line1,'3.477126359939575
2021-12-29 10:08:18.767103+00:00,7352210450,Line1,'3.477126359939575
2021-12-29 10:08:20.932752+00:00,7352210450,Line1,'3.2678336463868973
2021-12-29 10:08:23.080577+00:00,7352210450,Line1,'3.477126359939575
2021-12-29 10:08:25.209649+00:00,7352210450,Line1,'3.477126359939575
2021-12-29 10:08:27.338752+00:00,7352210450,Line1,'3.686419073492253
2021-12-29 10:08:29.472557+00:00,7352210450,Line1,'3.477126359939575
2021-12-29 10:08:31.634916+00:00,7352210450,Line1,'3.2678336463868973
2021-12-29 10:08:33.817991+00:00,7352210450,Line1,'3.477126359939575
2021-12-29 10:08:36.011150+00:00,7352210450,Line1,'3.686419073492253
2021-12-29 10:08:38.156278+00:00,7352210450,Line1,'3.0585409328341306
2021-12-29 10:08:40.285213+00:00,7352210450,Line1,'3.686419073492253
2021-12-29 10:08:42.439079+00:00,7352210450,Line1,'3.8957117870450197
2021-12-29 10:08:44.596704+00:00,7352210450,Line1,'3.477126359939575
2021-12-29 10:08:46.760923+00:00,7352210450,Line1,'3.477126359939575
2021-12-29 10:08:48.902274+00:00,7352210450,Line1,'3.477126359939575
2021-12-29 10:08:51.096436+00:00,7352210450,Line1,'3.477126359939575
2021-12-29 10:08:53.282288+00:00,7352210450,Line1,'2.639955505728686
2021-12-29 10:08:55.433616+00:00,7352210450,Line1,'10.3837859071791
2021-12-29 10:08:57.580254+00:00,7352210450,Line1,'29.42942284047607
